date_time,executed_price,capital,signal,order_status,order_type,profit_loss%,stop_loss
2018-07-05 23:57:00,6529.2,2685.5566683071943,2,LONG,Market,0.008771849922119051,5876.28
2018-07-06 23:57:00,6609.78,2714.6720808285027,-2,SHORT,Market,0.012341481345340919,7270.758
2018-07-07 23:57:00,6756.98,2650.1442435725603,2,LONG,Market,-0.022270030167418554,6081.281999999999
2018-07-09 23:57:00,6662.12,2608.964139380792,-2,SHORT,Market,-0.014038816157514108,7328.332
2018-07-14 23:57:00,6251.99,2765.662399728229,2,LONG,Market,0.061561484932724134,5626.790999999999
2018-07-21 23:57:00,7398.78,3268.8138191778157,-2,SHORT,Market,0.18342799652590616,8138.657999999999
2018-07-23 23:57:00,7721.01,3121.547955289816,2,LONG,Market,-0.04355177475205378,6948.909
2018-07-26 23:57:00,7920.0,3197.31583710265,-2,SHORT,Market,0.025772534940376943,8712.0
2018-07-28 23:57:00,8225.04,3069.374759439194,2,LONG,Market,-0.03851515151515163,7402.536000000001
2018-07-31 23:57:00,7730.93,2880.381470939251,-2,SHORT,Market,-0.06007387198116976,8504.023000000001
2018-08-12 23:57:00,6308.33,3406.0916557773603,2,LONG,Market,0.1840140836872149,5677.496999999999
2018-08-14 23:57:00,6188.08,3336.055267879206,-2,SHORT,Market,-0.019062097258703968,6806.888
2018-08-15 23:57:00,6267.16,3288.4183730900345,2,LONG,Market,-0.012779408152447921,5640.4439999999995
2018-08-19 23:57:00,6477.53,3393.8682111363437,-2,SHORT,Market,0.033567038339534956,7125.282999999999
2018-08-22 23:57:00,6360.89,3449.89033120625,2,LONG,Market,0.018006863727377476,5724.801
2018-08-30 23:57:00,6984.84,3783.1208245480366,-2,SHORT,Market,0.09809161925453824,7683.3240000000005
2018-09-01 23:57:00,7200.01,3660.9060210152134,2,LONG,Market,-0.030805286878439603,6480.009
2018-09-05 23:57:00,6700.0,3401.1803457024885,-2,SHORT,Market,-0.06944573688092102,7370.0
2018-09-10 23:57:00,6312.0,3593.042451920139,2,LONG,Market,0.05791044776119403,5680.8
2018-09-17 23:57:00,6248.69,3551.614308135943,-2,SHORT,Market,-0.0100301013941699,6873.558999999999
2018-09-19 23:57:00,6391.89,3464.895239956576,2,LONG,Market,-0.02291680336198479,5752.701
2018-09-24 23:57:00,6581.39,3562.4214495939104,-2,SHORT,Market,0.02964694323588172,7239.529
2018-09-27 23:57:00,6689.13,3498.75954620641,2,LONG,Market,-0.016370401997146466,6020.217000000001
2018-10-01 23:57:00,6611.61,3452.964453842097,-2,SHORT,Market,-0.011588951029506144,7272.771
2018-10-05 23:57:00,6635.65,3435.229931246335,2,LONG,Market,-0.003636028138380813,5972.084999999999
2018-10-10 23:57:00,6631.0,3427.669813636123,-2,SHORT,Market,-0.0007007602872363125,7294.1
2018-10-14 23:57:00,6339.34,3573.2920214545184,2,LONG,Market,0.04398431609108729,5705.406
2018-10-18 23:57:00,6618.96,3725.5453231348483,-2,SHORT,Market,0.04410869270302585,7280.856
2018-10-21 23:57:00,6590.11,3736.1955052426742,2,LONG,Market,0.0043586907913026164,5931.099
2018-10-22 23:57:00,6581.2,3725.539778556277,-2,SHORT,Market,-0.0013520259904614422,7239.32
2018-10-23 23:57:00,6553.51,3735.6264516375186,2,LONG,Market,0.004207439372758707,5898.159
2018-10-24 23:57:00,6565.5,3736.8575420294655,-2,SHORT,Market,0.001829553933693514,7222.05
2018-11-01 23:57:00,6410.0,3819.7575253509626,2,LONG,Market,0.02368441093595309,5769.0
2018-11-09 23:57:00,6419.99,3819.9809901047856,-2,SHORT,Market,0.0015585023400935696,7061.989
2018-11-12 23:57:00,6453.07,3794.567970647176,2,LONG,Market,-0.0051526560010217975,5807.763
2018-11-14 19:30:00,5779.37,3392.7235212724568,-1,Squared_Off,SL,-0.10439992127777939,0.0
2018-11-28 23:57:00,4264.85,3392.7235212724568,1,LONG,Market,0.0,3838.3650000000002
2018-11-30 23:57:00,4041.32,3209.814468416065,-2,SHORT,Market,-0.052412159864942534,4445.452
2018-12-09 23:57:00,3545.37,3598.907550503032,2,LONG,Market,0.12271980442033797,3190.8329999999996
2018-12-11 23:57:00,3380.39,3426.037876540799,-2,SHORT,Market,-0.04653393016807837,3718.429
2018-12-12 23:57:00,3445.0,3355.416343679348,2,LONG,Market,-0.019113179248548284,3100.5
2018-12-13 23:57:00,3302.06,3211.160225792123,-2,SHORT,Market,-0.041492017416545734,3632.266
2018-12-17 23:57:00,3509.08,3005.022373800865,2,LONG,Market,-0.06269419695583968,3158.172
2018-12-22 23:57:00,3948.91,3377.1659826104815,-2,SHORT,Market,0.1253405451001402,4343.8009999999995
2018-12-23 23:57:00,3929.71,3388.520356370718,2,LONG,Market,0.004862101187416228,3536.739
2018-12-24 23:57:00,4008.01,3450.954299437605,-2,SHORT,Market,0.019925134424677693,4408.811000000001
2018-12-29 23:57:00,3695.32,3715.0084587033284,2,LONG,Market,0.07801627241449,3325.788
2019-01-04 23:57:00,3792.01,3806.6411049384583,-2,SHORT,Market,0.026165528289836888,4171.211
2019-01-05 23:57:00,3770.96,3822.0623626762936,2,LONG,Market,0.005551145698455484,3393.864
2019-01-09 23:57:00,3966.65,4014.671172454543,-2,SHORT,Market,0.05189394742983221,4363.3150000000005
2019-01-14 23:57:00,3626.09,4353.332062974703,2,LONG,Market,0.08585582292362572,3263.481
2019-01-18 23:57:00,3594.87,4309.320638052426,-2,SHORT,Market,-0.00860982490782089,3954.357
2019-01-19 23:57:00,3665.3,4218.429277930583,2,LONG,Market,-0.01959180721416916,3298.77
2019-01-20 23:57:00,3539.28,4067.0639951833564,-2,SHORT,Market,-0.034381905983139165,3893.208
2019-01-23 23:57:00,3552.82,4045.4042892883463,2,LONG,Market,-0.003825636852693193,3197.538
2019-01-24 23:57:00,3569.62,4058.4654356902015,-2,SHORT,Market,0.004728638095934983,3926.582
2019-01-25 23:57:00,3565.29,4057.300714026191,2,LONG,Market,0.0012130142704265237,3208.761
2019-01-26 23:57:00,3565.25,4051.1692429473655,-2,SHORT,Market,-1.1219283704821661e-05,3921.775
2019-01-27 23:57:00,3550.84,4061.4664737378416,2,LONG,Market,0.004041792300680136,3195.7560000000003
2019-01-28 23:57:00,3434.15,3921.9037366838265,-2,SHORT,Market,-0.03286264658503341,3777.565
2019-01-31 23:57:00,3434.1,3916.077982599362,2,LONG,Market,1.4559643579978131e-05,3090.69
2019-02-04 23:57:00,3463.22,3943.4108749884085,-2,SHORT,Market,0.00847965988177394,3809.542
2019-02-05 23:57:00,3471.59,3927.9652209036635,2,LONG,Market,-0.0024168259596561424,3124.431
2019-02-06 23:57:00,3405.37,3847.1479918817754,-2,SHORT,Market,-0.019074833145619228,3745.907
2019-02-08 23:57:00,3659.04,3554.7987098253993,2,LONG,Market,-0.07449117129709842,3293.136
2019-02-12 23:57:00,3631.46,3522.672230086511,-2,SHORT,Market,-0.007537496173859791,3994.606
2019-02-16 23:57:00,3618.41,3530.0472824504704,2,LONG,Market,0.0035935959641577165,3256.569
2019-02-22 23:57:00,3962.0,3859.951634968903,-2,SHORT,Market,0.09495607186581956,4358.2
2019-02-23 23:57:00,4117.76,3702.4135836742594,2,LONG,Market,-0.03931347804139329,3705.9840000000004
2019-02-24 23:57:00,3743.56,3360.404423633758,-2,SHORT,Market,-0.09087465029530625,4117.916
2019-02-28 23:57:00,3813.69,3292.4116639062145,2,LONG,Market,-0.018733505005930212,3432.321
2019-03-02 23:57:00,3819.93,3292.8601252717135,-2,SHORT,Market,0.0016362105991834107,4201.923
2019-03-03 23:57:00,3807.75,3298.4202516505516,2,LONG,Market,0.0031885401041379913,3426.975
2019-03-04 23:57:00,3715.3,3213.3888573008894,-2,SHORT,Market,-0.024279430109644756,4086.8300000000004
2019-03-05 23:57:00,3857.73,3085.3800745975655,2,LONG,Market,-0.038336069765563974,3471.957
2019-03-11 23:57:00,3871.61,3091.853111985524,-2,SHORT,Market,0.0035979708274037087,4258.771000000001
2019-03-15 23:57:00,3923.76,3045.568539435503,2,LONG,Market,-0.013469848460976206,3531.384
