datetime,open,high,low,close,volume
2018-01-01 00:00:00,733.01,763.55,716.8,741.01,27170.94946
2018-01-01 12:00:00,741.01,762.62,724.15,754.99,26738.30939
2018-01-02 00:00:00,754.99,899.5,749.06,849.1,62640.04513
2018-01-02 12:00:00,849.57,878.0,810.0,855.28,50617.73842
2018-01-03 00:00:00,855.13,884.98,820.0,863.02,46130.17752
2018-01-03 12:00:00,863.3,950.01,810.0,934.03,42911.27936
2018-01-04 00:00:00,934.03,949.99,890.01,949.99,44416.93362
2018-01-04 12:00:00,949.99,1009.72,910.0,940.0,58477.54022
2018-01-05 00:00:00,940.0,1045.0,930.1,995.98,53120.99449
2018-01-05 12:00:00,995.9,999.99,930.0,959.3,44253.02181
2018-01-06 00:00:00,958.0,1005.0,950.0,998.0,37758.83376
2018-01-06 12:00:00,1001.73,1017.56,980.0,1004.11,34195.44519
2018-01-07 00:00:00,1003.71,1095.9,999.9,1080.2,33598.39955
2018-01-07 12:00:00,1081.27,1125.0,1064.1,1123.09,31680.42002
2018-01-08 00:00:00,1123.09,1239.18,1050.0,1142.3,68617.27526
2018-01-08 12:00:00,1142.32,1162.0,910.0,1133.18,90214.27272
2018-01-09 00:00:00,1133.18,1260.0,1104.85,1218.98,62063.67101
2018-01-09 12:00:00,1218.97,1326.5,1132.57,1291.0,56639.21583
2018-01-10 00:00:00,1291.0,1440.0,1226.68,1338.11,102949.95461
2018-01-10 12:00:00,1337.01,1380.0,1201.1,1247.0,57235.05829
2018-01-11 00:00:00,1249.03,1332.49,1021.0,1190.3,131020.48988
2018-01-11 12:00:00,1190.3,1249.9,1074.99,1138.93,63525.80399
2018-01-12 00:00:00,1136.45,1241.0,1069.01,1220.0,52989.11696
2018-01-12 12:00:00,1218.13,1288.5,1200.01,1253.87,40774.35565
2018-01-13 00:00:00,1253.87,1338.0,1252.0,1337.1,33951.36314
2018-01-13 12:00:00,1337.01,1427.01,1330.0,1388.02,41942.06887
2018-01-14 00:00:00,1388.1,1391.89,1286.0,1302.0,41657.89222
2018-01-14 12:00:00,1302.0,1355.61,1220.89,1347.0,56733.30363
2018-01-15 00:00:00,1347.99,1383.13,1260.02,1290.02,39828.02982
2018-01-15 12:00:00,1293.46,1329.98,1258.12,1271.0,29408.67494
2018-01-16 00:00:00,1268.67,1275.01,947.0,1138.02,138472.89318
2018-01-16 12:00:00,1138.0,1143.42,780.0,1000.0,205416.47191
2018-01-17 00:00:00,999.99,1075.51,843.48,859.96,183156.54205
2018-01-17 12:00:00,857.05,1070.0,755.0,1000.0,253177.13121
2018-01-18 00:00:00,1000.0,1058.59,924.21,1023.0,157412.84277
2018-01-18 12:00:00,1023.0,1075.2,960.0,994.0,137132.8693
2018-01-19 00:00:00,993.3,1056.97,941.0,1053.91,97896.67202
2018-01-19 12:00:00,1053.89,1079.0,1004.13,1032.5,70057.44051
2018-01-20 00:00:00,1032.5,1141.34,1031.0,1102.12,78509.26722
2018-01-20 12:00:00,1102.4,1165.4,1081.0,1152.75,44843.3164
2018-01-21 00:00:00,1150.37,1152.69,1016.0,1110.0,93906.31045
2018-01-21 12:00:00,1109.08,1118.0,998.0,1049.0,81124.69744
2018-01-22 00:00:00,1049.0,1090.15,1020.0,1036.89,60117.9032
2018-01-22 12:00:00,1035.54,1047.01,908.0,993.0,125094.61682
2018-01-23 00:00:00,993.0,1012.16,909.0,932.5,71201.82393
2018-01-23 12:00:00,933.86,1030.0,917.01,980.0,88957.81565
2018-01-24 00:00:00,981.2,1022.72,953.09,1015.0,63119.76509
2018-01-24 12:00:00,1015.0,1074.0,1004.0,1061.0,71138.02961
2018-01-25 00:00:00,1060.34,1115.0,1045.9,1058.0,72116.06763
2018-01-25 12:00:00,1059.49,1084.0,1030.26,1056.52,47299.86732
2018-01-26 00:00:00,1055.29,1082.0,986.0,1008.21,81756.96494
2018-01-26 12:00:00,1008.99,1080.0,1003.39,1051.03,63356.67306
2018-01-27 00:00:00,1051.03,1085.0,1032.2,1065.77,44804.28569
2018-01-27 12:00:00,1064.0,1127.99,1060.02,1118.99,52090.0527
2018-01-28 00:00:00,1118.99,1265.0,1112.0,1264.28,79705.78455
2018-01-28 12:00:00,1264.11,1277.0,1208.0,1251.96,63804.95131
2018-01-29 00:00:00,1251.96,1258.89,1170.0,1184.88,72180.92743
2018-01-29 12:00:00,1185.4,1208.0,1161.65,1177.01,33111.84065
2018-01-30 00:00:00,1177.01,1186.85,1120.0,1169.89,48723.14817
2018-01-30 12:00:00,1167.16,1175.0,1051.0,1085.5,106555.40587
2018-01-31 00:00:00,1084.63,1118.09,1029.0,1111.91,66238.67614
2018-01-31 12:00:00,1111.91,1135.0,1085.0,1124.81,34133.36169
2018-02-01 00:00:00,1125.96,1164.99,1090.5,1116.0,70033.76594
2018-02-01 12:00:00,1116.0,1162.36,981.0,1041.94,133321.52458
2018-02-02 00:00:00,1041.89,1047.2,845.0,847.01,140105.27229
2018-02-02 12:00:00,847.01,988.42,783.67,922.3,237269.95645
2018-02-03 00:00:00,923.67,972.97,851.0,971.44,86342.63486
2018-02-03 12:00:00,971.44,998.0,941.8,971.0,73695.24643
2018-02-04 00:00:00,971.0,975.0,885.03,886.67,57298.07249
2018-02-04 12:00:00,886.67,905.0,789.0,823.56,129147.95911
2018-02-05 00:00:00,821.6,862.47,761.5,764.43,98690.70567
2018-02-05 12:00:00,763.01,789.99,634.94,697.92,266825.82332
2018-02-06 00:00:00,697.93,724.0,570.1,633.96,347613.37972
2018-02-06 12:00:00,633.96,798.0,620.0,779.25,301331.04068
2018-02-07 00:00:00,779.99,840.0,714.18,820.42,174427.64223
2018-02-07 12:00:00,821.42,849.0,747.95,754.0,181975.80187
2018-02-08 00:00:00,753.19,786.93,751.0,781.66,10516.2619
2018-02-09 00:00:00,781.66,843.0,781.66,834.0,17579.47185
2018-02-09 12:00:00,833.15,882.2,823.99,877.0,77868.20104
2018-02-10 00:00:00,876.3,911.2,851.03,869.73,107795.40347
2018-02-10 12:00:00,870.0,884.98,800.0,851.15,107022.66421
2018-02-11 00:00:00,851.15,851.93,768.28,819.44,106773.09584
2018-02-11 12:00:00,818.5,857.0,805.0,808.99,82550.31216
2018-02-12 00:00:00,808.58,874.0,807.46,855.92,81417.9655
